 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
  203     0.00219542              1   0.000383502    0.000378704   0.00219542       0.00217588   T=3.74764s   ACCEPTED
  204     0.00217588              1   0.000378704    0.000373991   0.00217588       0.00215655   T=3.66067s   ACCEPTED
  205     0.00215655              1   0.000373991     0.00036936   0.00215655       0.00213743   T=3.8271s   ACCEPTED
  206     0.00213743              1   0.00036936    0.000364812   0.00213743       0.00211852   T=3.35609s   ACCEPTED
  207     0.00211852              1   0.000364812    0.000360344   0.00211852       0.00209983   T=3.79895s   ACCEPTED
  208     0.00209983              1   0.000360344    0.000355954   0.00209983       0.00208133   T=3.61717s   ACCEPTED
  209     0.00208133              1   0.000355954    0.000351641   0.00208133       0.00206305   T=3.6999s   ACCEPTED
  210     0.00206305              1   0.000351641    0.000347404   0.00206305       0.00204496   T=3.6518s   ACCEPTED
  211     0.00204496              1   0.000347404     0.00034324   0.00204496       0.00202707   T=3.72486s   ACCEPTED
  212     0.00202707              1   0.00034324    0.000339149   0.00202707       0.00200939   T=3.60181s   ACCEPTED
  213     0.00200939              1   0.000339149    0.000335129   0.00200939       0.00199189   T=3.81827s   ACCEPTED
  214     0.00199189              1   0.000335129    0.000331178   0.00199189       0.00197459   T=3.58702s   ACCEPTED
  215     0.00197459              1   0.000331178    0.000327296   0.00197459       0.00195748   T=3.20314s   ACCEPTED
  216     0.00195748              1   0.000327296    0.000323481   0.00195748       0.00194056   T=3.56881s   ACCEPTED
  217     0.00194056              1   0.000323481    0.000319732   0.00194056       0.00192383   T=3.60188s   ACCEPTED
  218     0.00192383              1   0.000319732    0.000316046   0.00192383       0.00190728   T=3.90247s   ACCEPTED
  219     0.00190728              1   0.000316046    0.000312424   0.00190728       0.00189091   T=3.65727s   ACCEPTED
  220     0.00189091              1   0.000312424    0.000308864   0.00189091       0.00187473   T=3.52351s   ACCEPTED
  221     0.00187473              1   0.000308864    0.000305364   0.00187473       0.00185872   T=3.70201s   ACCEPTED
  222     0.00185872              1   0.000305364    0.000301924   0.00185872       0.00184289   T=3.75909s   ACCEPTED
  223     0.00184289              1   0.000301924    0.000298542   0.00184289       0.00182724   T=3.71192s   ACCEPTED
  224     0.00182724              1   0.000298542    0.000295218   0.00182724       0.00181176   T=3.64557s   ACCEPTED
  225     0.00181176              1   0.000295218    0.000291949   0.00181176       0.00179645   T=3.79949s   ACCEPTED
  226     0.00179645              1   0.000291949    0.000288736   0.00179645       0.00178131   T=3.82999s   ACCEPTED
  227     0.00178131              1   0.000288736    0.000285576   0.00178131       0.00176634   T=3.60884s   ACCEPTED
  228     0.00176634              1   0.000285576    0.000282469   0.00176634       0.00175153   T=3.88106s   ACCEPTED
  229     0.00175153              1   0.000282469    0.000279414   0.00175153       0.00173688   T=3.66812s   ACCEPTED
  230     0.00173688              1   0.000279414     0.00027641   0.00173688        0.0017224   T=3.76152s   ACCEPTED
  231      0.0017224              1   0.00027641    0.000273456    0.0017224       0.00170808   T=3.8018s   ACCEPTED
  232     0.00170808              1   0.000273456     0.00027055   0.00170808       0.00169392   T=3.80283s   ACCEPTED
  233     0.00169392              1   0.00027055    0.000267693   0.00169392       0.00167991   T=3.82591s   ACCEPTED
  234     0.00167991              1   0.000267693    0.000264882   0.00167991       0.00166606   T=3.54262s   ACCEPTED
  235     0.00166606              1   0.000264882    0.000262118   0.00166606       0.00165236   T=3.50887s   ACCEPTED
  236     0.00165236              1   0.000262118    0.000259399   0.00165236       0.00163882   T=3.75901s   ACCEPTED
  237     0.00163882              1   0.000259399    0.000256724   0.00163882       0.00162542   T=3.63549s   ACCEPTED
  238     0.00162542              1   0.000256724    0.000254093   0.00162542       0.00161217   T=3.74731s   ACCEPTED
  239     0.00161217              1   0.000254093    0.000251504   0.00161217       0.00159907   T=3.68982s   ACCEPTED
  240     0.00159907              1   0.000251504    0.000248958   0.00159907       0.00158612   T=3.82442s   ACCEPTED
  241     0.00158612              1   0.000248958    0.000246452   0.00158612       0.00157331   T=3.90767s   ACCEPTED
  242     0.00157331              1   0.000246452    0.000243987   0.00157331       0.00156064   T=3.54537s   ACCEPTED
  243     0.00156064              1   0.000243987    0.000241561   0.00156064       0.00154811   T=3.53116s   ACCEPTED
  244     0.00154811              1   0.000241561    0.000239174   0.00154811       0.00153572   T=3.64513s   ACCEPTED
  245     0.00153572              1   0.000239174    0.000236825   0.00153572       0.00152346   T=3.77822s   ACCEPTED
  246     0.00152346              1   0.000236825    0.000234513   0.00152346       0.00151135   T=3.74738s   ACCEPTED
  247     0.00151135              1   0.000234513    0.000232238   0.00151135       0.00149936   T=3.79721s   ACCEPTED
  248     0.00149936              1   0.000232238    0.000229999   0.00149936       0.00148752   T=3.73312s   ACCEPTED
